2022-08-03 10:48:15.998 |  INFO | 5148 |            main | com.elasticlab.ElasticsearchApplication :55   | Starting ElasticsearchApplication using Java 1.8.0_181 on chengzw-2.local with PID 5148 (/Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client/build/classes/java/main started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 10:48:16.001 |  INFO | 5148 |            main | com.elasticlab.ElasticsearchApplication :640  | The following 1 profile is active: "default"
2022-08-03 10:48:16.609 |  INFO | 5148 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :108  | Tomcat initialized with port(s): 10000 (http)
2022-08-03 10:48:16.615 |  INFO | 5148 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Initializing ProtocolHandler ["http-nio-10000"]
2022-08-03 10:48:16.616 |  INFO | 5148 |            main | o.apache.catalina.core.StandardService  :173  | Starting service [Tomcat]
2022-08-03 10:48:16.616 |  INFO | 5148 |            main | org.apache.catalina.core.StandardEngine :173  | Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-08-03 10:48:16.710 |  INFO | 5148 |            main | o.a.c.c.C.[Tomcat].[localhost].[/]      :173  | Initializing Spring embedded WebApplicationContext
2022-08-03 10:48:16.710 |  INFO | 5148 |            main | w.s.c.ServletWebServerApplicationContext:292  | Root WebApplicationContext: initialization completed in 677 ms
2022-08-03 10:48:17.182 |  INFO | 5148 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Starting ProtocolHandler ["http-nio-10000"]
2022-08-03 10:48:17.195 |  INFO | 5148 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :220  | Tomcat started on port(s): 10000 (http) with context path ''
2022-08-03 10:48:17.202 |  INFO | 5148 |            main | com.elasticlab.ElasticsearchApplication :61   | Started ElasticsearchApplication in 1.482 seconds (JVM running for 1.937)
2022-08-03 10:48:22.987 |  INFO | 5148 | io-10000-exec-1 | o.a.c.c.C.[Tomcat].[localhost].[/]      :173  | Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-03 10:48:22.988 |  INFO | 5148 | io-10000-exec-1 | o.s.web.servlet.DispatcherServlet       :525  | Initializing Servlet 'dispatcherServlet'
2022-08-03 10:48:22.989 |  INFO | 5148 | io-10000-exec-1 | o.s.web.servlet.DispatcherServlet       :547  | Completed initialization in 1 ms
2022-08-03 10:48:23.005 |  INFO | 5148 | io-10000-exec-1 | c.e.controller.ProductController        :24   | hehehe
2022-08-03 10:49:42.456 |  INFO | 5204 |            main | com.elasticlab.ElasticsearchApplication :55   | Starting ElasticsearchApplication using Java 1.8.0_181 on chengzw-2.local with PID 5204 (/Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client/build/classes/java/main started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 10:49:42.458 |  INFO | 5204 |            main | com.elasticlab.ElasticsearchApplication :640  | The following 1 profile is active: "default"
2022-08-03 10:49:43.022 |  INFO | 5204 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :108  | Tomcat initialized with port(s): 10000 (http)
2022-08-03 10:49:43.029 |  INFO | 5204 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Initializing ProtocolHandler ["http-nio-10000"]
2022-08-03 10:49:43.029 |  INFO | 5204 |            main | o.apache.catalina.core.StandardService  :173  | Starting service [Tomcat]
2022-08-03 10:49:43.029 |  INFO | 5204 |            main | org.apache.catalina.core.StandardEngine :173  | Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-08-03 10:49:43.108 |  INFO | 5204 |            main | o.a.c.c.C.[Tomcat].[localhost].[/]      :173  | Initializing Spring embedded WebApplicationContext
2022-08-03 10:49:43.108 |  INFO | 5204 |            main | w.s.c.ServletWebServerApplicationContext:292  | Root WebApplicationContext: initialization completed in 621 ms
2022-08-03 10:49:43.545 |  INFO | 5204 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Starting ProtocolHandler ["http-nio-10000"]
2022-08-03 10:49:43.560 |  INFO | 5204 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :220  | Tomcat started on port(s): 10000 (http) with context path ''
2022-08-03 10:49:43.568 |  INFO | 5204 |            main | com.elasticlab.ElasticsearchApplication :61   | Started ElasticsearchApplication in 1.365 seconds (JVM running for 1.785)
2022-08-03 10:49:50.995 |  INFO | 5219 |            main | com.elasticlab.ElasticsearchApplication :55   | Starting ElasticsearchApplication using Java 1.8.0_181 on chengzw-2.local with PID 5219 (/Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client/build/classes/java/main started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 10:49:50.997 |  INFO | 5219 |            main | com.elasticlab.ElasticsearchApplication :640  | The following 1 profile is active: "default"
2022-08-03 10:49:51.535 |  INFO | 5219 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :108  | Tomcat initialized with port(s): 10000 (http)
2022-08-03 10:49:51.541 |  INFO | 5219 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Initializing ProtocolHandler ["http-nio-10000"]
2022-08-03 10:49:51.541 |  INFO | 5219 |            main | o.apache.catalina.core.StandardService  :173  | Starting service [Tomcat]
2022-08-03 10:49:51.542 |  INFO | 5219 |            main | org.apache.catalina.core.StandardEngine :173  | Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-08-03 10:49:51.611 |  INFO | 5219 |            main | o.a.c.c.C.[Tomcat].[localhost].[/]      :173  | Initializing Spring embedded WebApplicationContext
2022-08-03 10:49:51.611 |  INFO | 5219 |            main | w.s.c.ServletWebServerApplicationContext:292  | Root WebApplicationContext: initialization completed in 582 ms
2022-08-03 10:49:52.065 |  INFO | 5219 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Starting ProtocolHandler ["http-nio-10000"]
2022-08-03 10:49:52.080 |  INFO | 5219 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :220  | Tomcat started on port(s): 10000 (http) with context path ''
2022-08-03 10:49:52.088 |  INFO | 5219 |            main | com.elasticlab.ElasticsearchApplication :61   | Started ElasticsearchApplication in 1.36 seconds (JVM running for 1.781)
2022-08-03 10:57:18.310 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
2022-08-03 10:57:18.320 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
