2022-08-07 10:40:59.050 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
2022-08-07 10:40:59.060 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-07 10:40:59.308 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-07 10:40:59.328 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@77eca502, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3246fb96, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2e222612, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@61386958, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@73ee04c8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7671cb68, org.springframework.test.context.event.EventPublishingTestExecutionListener@49dc7102, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6b8ca3c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@68c72235, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@10959ece, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a6bb9bf, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@34f7cfd9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@65f095f8]
2022-08-07 10:40:59.934 |  INFO | 5289 |            main | com.elasticlab.IndexingTest             :55   | Starting IndexingTest using Java 1.8.0_181 on chengzw-2.local with PID 5289 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-07 10:40:59.934 |  INFO | 5289 |            main | com.elasticlab.IndexingTest             :634  | No active profile set, falling back to 1 default profile: "default"
2022-08-07 10:41:01.786 |  INFO | 5289 |            main | com.elasticlab.IndexingTest             :61   | Started IndexingTest in 2.398 seconds (JVM running for 3.417)
2022-08-07 10:41:02.625 |  INFO | 5289 |            main | com.elasticlab.ElasticsearchApplication :52   | Indexed Response: {"_id":"sn10001","_index":"products","_primary_term":1,"result":"created","_seq_no":0,"_shards":{"failed":0.0,"successful":1.0,"total":2.0},"_version":1}
2022-08-07 11:01:33.037 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
2022-08-07 11:01:33.046 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-07 11:01:33.241 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
